S.,OHT,Division,Lat,Long,Year,Inlet Line Size mm,Delivery_line
1,Matawala  Bagh OHT,South,30.312903,78.024712,1991,450,500
2,Dherakhas,South,30.300747,78.024354,2000,150,150
3,Pathri Bagh,South,30.307395,78.022214,2010,250,350
4,Matawala  Bagh New,South,30.316999,78.022885,2015,200,200
5,Bannu School,South,30.306783,78.042141,1998,300,400
6,Nehru Colony  I Block,South,30.302678,78.055168,,450,500
7,Nehru Colony  H Block,South,30.299411,78.059702,2016,300,350
8,Nehru Colony 3,South,30.30114,78.05474,,250,300
9,Indresh Nagar,South,30.311852,78.03842,1966,400,400
10,Tehsil Park,South,30.321362,78.040308,2012,250,300
11,Tagore Villa Ansari Marg,South,30.32578,78.0337782,2014,300,400
12,Khurbura City Board,South,30.33598,78.04923,1991,400,500
13,Jhanda Bazar,South,30.317334,78.031661,1972,400,400
14,Sanjay Colony,South,30.303751,78.062746,,350,350
15,Inder Road,South,30.301496,78.061092,2006,200,250
16,Mahila ITI,South,30.32368,78.051162,2010,350,450
17,Survey Chowk,South,30.324352,78.049934,1995,500,500
18,Survey Chowk 2,South,30.324609,78.049523,2010,450,500
19,Cement Road,South,30.333077,78.056906,2017,250,300
20,Dobhalwala,South,30.335832,78.042375,1998,350,400
21,Nagar Palika,South,30.319486,78.043023,1987,350,400
22,Purani Jail Parishad,South,30.313673,78.039259,2010,350,400
23,Rajpur Road GGIC,South,30.33217,78.0559,2015,250,300
24,MDDA Dalanwala,North,30.313589,78.063158,1990,300,350
25,Vani Vihar,North,30.316699,78.068243,1981,250,300
26,Kanan Kunj,North,30.327141,78.060282,2006,250,300
27,Bhramawala SGRR,North,30.344401,78.072972,,300,350
28,Rajeev Nagar Danda North,North,30.304475,78.069343,,300,450
29,Chuna Bhatta North,North,30.320601,78.061454,,300,350
30,DL Road,North,30.331229,78.064168,2003,200,250
31,Nanur Khera,North,30.331178,78.078471,,200,350
32,"Adoiwala Shakti  vihar
Shanti",North,30.325729,78.061327,2009,250,300
33,Rajendra Nagar-8,North,30.343057,78.073713,2009,350,400
34,Kulaghar OHT,North,30.345965,78.019623,1981,200,250
35,Sitaram Mandir,North,30.350051,78.016633,2005,350,400
36,Nimbuwala,North,,,1986,250,250
37,Bhramawala-2,North,30.3474,78.0751,2010,300,350
38,Chidowali Nagar Nigam,North,30.3487,78.071,2017,150,150
39,Chidowali,North,30.3354387,78.074811,2018,250,300
40,Chidowali-2/CWR,North,30.354387,78.074811,2007,150 150 250,"300, 350"
41,Adhoiwla Shivlok,North,30.3196,78.071,1999,,
42,Chuna Bhatta-1,North,30.320527,78.061464,2009,350,400
43,Hari Vihar,North,30.330315,78.0015032,2018,300,300
44,Yamuna colony only one tank,North,30.328683,78.021883,2014,350,400
45,Badrish Colony,North,30.307173,78.07055,2008,350,400
46,"Ambiwala Gurudwara
Raipur",Raipur,30.298349,78.068522,,350,400
47,Saraswati ViharB Block,Raipur,30.292174,78.039727,2003,350,400
48,Mata Mandir,Raipur,30.298578,78.042637,1997,250,250
49,Ashok Vihar ( Shiv Mandir),Raipur,30.29315,78.49423,1999,300,400
50,Vijay Park 1,North,30.334102,78.016608,1979,400,450
51,Indara Nagar-2,Pithuwala,30.3326,78.0015,2009,250,300
52,Indara Nagar-1,Pithuwala,30.3237,78.0055,1972,350,300
53,Indara Nagar -4,Pithuwala,30.317812,78.003874,2012,450,500
54,Vasant Vihar Phase-2,Pithuwala,30.32366,77.995802,2012,200,200
55,Vasant Vihar -1,Pithuwala,30.3327,77.9978,1990,250,250
56,Pandit wari,Pithuwala,30.3323,77.9877,,250,250
57,Maharani Bagh,Pithuwala,30.3317,78.0104,2003,150,200
58,GMS Road Kanwali,Pithuwala,30.3161,78.0106,,350,350
59,Kanwali Gaon,Pithuwala,30.3119,78.0071,2012,300,350
60,Engineers Enclave,Pithuwala,30.3099,78.005,1996,100,150
61,Bengali Kothi Ajabpur,Pithuwala,30.2839,78.0391,2012,350,400
62,THDC Ajabpur,Pithuwala,30.2826,78.0462,1990,150,150
63,Deep Nagar,Pithuwala,30.28557,78.049954,2006,450,500
64,Indrapuram,Pithuwala,30.3081,78.0088,2012,350,400
65,Niranjanpur ITI,Pithuwala,30.299,78.0053,2012,350,400
66,Lower Majra,Pithuwala,30.2857,78.9995,2012,350/2,400
67,Saraswati Vihar-B,Raipur,30.2923,78.0397,2003,350,400
68,MDDA Kedarpuram,Raipur,30.2792,78.0473,1997,200,250
69,MDDA Colony,Raipur,30.2732,78.045,2010,350,400
70,Defence Colony,Raipur,30.284203,78.5649,2006,200,250
71,Ambiwala Gurudwara,Raipur,30.2982,78.0684,2013,350,400
72,Rajiv Nagar,Raipur,30.298394,78.060769,1990,300,300
