SN,Tubewell_Name,Division,Lat,Long,Year,Q_lpm,Motor_HP
1,Matawala  Bagh OHT,South,30.312903,78.024712,1991,2000,85
2,Patel Nagar,South,30.312903,78.024712,2008,1800,50
3,Niranjanpur 2 SGRR,South,30.306017,78.01936,1966,2000,85
4,Niranjanpur 3,South,30.8436,78.018697,1985,2000,85
5,Niranjanpur 1,South,30.307173,78.016506,2003,2200,85
6,Niranjanpur 4,South,30.29823,78.015713,1987,2000,85
7,Derakhas,South,30.300747,78.024354,2000,1500,50
8,Pathri Bagh,South,30.307395,78.022214,2010,1500,62
9,Matawala  Bagh 2,South,30.316999,78.022885,2015,1500,62
10,Hindu national School,South,30.319484,78.022928,2006,1200,62
11,Bannu School,South,30.306783,78.042141,1998,2000,85
12,Nehru Colony (I) Block,South,30.302678,78.055168,2016,2000,75
13,Nehru Colony (I) Park,South,30.301546,78.058935,1993,2500,85
14,Nehru Colony Nadi Kinara,South,30.300251,78.060614,1993,2500,85
15,Nehru Colony (H) Block (UJS),South,30.299287,78.059534,2016,2000,85
16,Nehru Colony (5),South,30.29908,78.057202,1989,2500,100
17,Nehru colony 3,South,30.30114,78.05474,1981,1500,62
18,Nehru colony 4,South,30.299925,78.052182,1986,2000,85
19,Nehru colony 1,South,30.302285,78.022928,1967,2400,75
20,Nehru colony 2 Dhrampur,South,30.303236,78.047873,1967,2000,62
21,Chandan Nagar,South,30.311852,78.03842,1998,2200,100
22,Indresh Nagar (Jhanda Mohalla),South,30.319665,78.026745,2009,1500,75
23,Tehsil Parishad,South,30.321362,78.040308,2009,2000,85
24,Tagore Villa,South,30.325902,78.034437,2010,1500,70
25,Khubra city Board,South,30.325558,78.031925,1991,1500,75
26,Khubura SGRR,South,30.323533,78.028633,2007,1500,62
27,MDDA Gandhi Gram,South,30.321247,78.018681,2006,1500,62
28,Tyagi Road Madrasi Colony (UJS),South,30.309768,78.035009,2016,2000,85
29,Model Colony,South,30.306848,78.05064,2008,850,25
30,Jaj Colony,South,30.306018,78.060646,2008,800,25
31,Sanjay Colony,South,30.30339,78.06233,1993,2500,85
32,Sanjay Colony Mohini Road,South,30.306389,78.064161,2017,1800,75
33,Rifle Home,South,30.309576,78.06534,1992,1800,75
34,Sanjay Colony (Inder Road),South,30.301496,78.061002,2010,1000,40
35,Inder Road,South,30.308798,78.064532,2006,1500,62
36,Carzan Road,South,30.31866,78.055859,2001,2000,85
37,Municipal Road (UJS),South,30.320609,78.050844,2017,1500,85
38,Mahila ITI,South,30.323681,78.051162,2010,1500,62
39,Survey Chowk,South,30.324351,78.049934,1975,2000,75
40,Kanak,South,30.326803,78.047601,1979,1000,40
41,Gandhi Park,South,30.326405,78.044965,1985,2200,85
42,Pritam Road (UJS),South,30.310795,78.056603,2017,2000,75
43,DAV,South,30.328701,78.056386,2010,1200,75
44,Karanpur Chowk,South,30.328423,78.056906,1991,1500,75
45,Cement Road,South,30.333077,78.061389,2017,1500,75
46,Dobhalwala,South,30.335832,78.02375,1998,800,40
47,Badrinath Colony,South,30.335167,78.039378,1996,2500,100
48,Neelkanth Vihar,South,30.34151,78.041667,2006,300,25
49,"Chaku wala Near Shikandi Place
(UJS)",South,30.335275,78.039394,2016,300,25
50,"Indra Colony New Shikar Sandesh
(UJS)",South,30.334307,78.338173,2006,400,25
51,Indra Colony,South,30.335111,78.03565,2016,400,40
52,Nagar Palika,South,30.32026,78.043528,1987,2500,100
53,Parade ground,South,30.323581,78.046473,2018,1500,100
54,Tibbeti Market,South,30.233795,78.044739,1975,2000,85
55,"Chaku wala behind Head Post
Office (UJS)",South,30.325525,78.041723,2016,1000,62
56,Tagore Villa,South,30.329577,78.034741,2001,2000,85
57,Aheer Mandi,South,30.337708,78.047065,2010,300,25
58,Sallawala,South,30.341031,78.056627,2007,400,15
59,Purani Jail Parishar,South,30.313673,78.039259,2010,1500,85
60,Race Course Mini,South,30.305602,78.043986,2010,500,15
61,Dharampur  Dispensory (UJS),South,30.301448,78.04926,2017,2000,85
62,Chandra singh Garhwali Marg,South,30.29866,78.049617,2011,500,20
63,Race Course New,South,30.301385,78.048693,2018,1500,60
64,Tyagi Road MDDA Park (UJS),South,30.302499,78.036627,2016,2000,85
65,Kusum Vihar (UJS),South,30.303147,78.035091,2016,2000,62
66,Retha Mandi Muslim Colony,South,30.305302,78.03281,2007,800,25
67,Bandron wali Gali,South,30.315304,78.03419,2011,500,25
68,Singhal Mandi,South,30.307675,78.033273,2005,800,25
69,Dehrakhas Surkanda Mandir (UJS),South,30.298991,78.024718,2016,2000,85
70,Vidhya Vihar Phase 2,South,30.297706,78.205515,2007,800,25
71,Rameshwar Mohalla,South,30.320247,78.031809,2007,700,25
72,Garhwaal Sabha,South,30.333774,78.035413,2007,400,25
73,Hathibarkala Mini,South,30.344762,78.051758,2010,200,20
74,Hathibarkala,South,30.339713,78.053603,2018,1000,75
75,Vijay Colony New,South,30.347591,78.0441,2011,300,20
76,Vijay Colony Old,South,30.347078,78.04654,1993,300,20
77,Vijay Colony Quara,South,30.347078,78.04654,2006,180,5
78,Green Valley,South,30.335999,78.048258,2010,500,25
79,Rajpur Road GGIC,South,30.33217,78.0559,2018,800,40
80,New Gandhi Gram,South,30.316189,78.01662,2015,2000,85
81,Madho Ram Quarter  (UJS),South,30,78,2019,1500,75
82,Rekha Srivastava,South,30.317238,78.024052,2005,400,25
84,MDDA Dalanwala,North,30.313589,78.063158,1990,1500,75
85,Chestrawas Adoiwala,North,30.312985,78.065021,2014,1500,75
86,Vani Vihar,North,30.316649,78.068243,1981,2500,85
87,Sahestradhara Crossing,North,30.32462,78.64199,2010,1500,62
88,Kana Kunj,North,30.327141,78.06282,2006,1500,62
89,Ekta Vihar,North,30.537675,78.069267,2008,1500,85
90,Badrish Colony,North,30.307173,78.07055,2008,1200,62
91,Nanur Khera,North,30.331178,78.078471,2005,1500,85
92,Adoiwala Shakti Vihar,North,30.325729,78.061327,2010,1500,75
93,DL Road,North,30.337229,78.064168,2003,1500,85
94,"Adoiwala Saraswati Vihar (Mini
Tubewell)",North,30.319324,78.064321,2005,600,25
95,Sirmour,North,30.339071,78.025117,1987,800,17.5
96,Krishna Nagar,North,30.337169,78.025917,2007,600,15
97,LoharWala,North,30.340661,78.025425,1987,400,40
98,Rajni Kunj,North,30.333652,78.022571,2017,250,25
99,Rajendra nagar 3,North,30.334742,78.019004,2008,2000,85
100,Rajender Nagar 4,North,30.342161,78.024773,2009,700,40
101,Rajender Nagar 8 (New) (ADB),North,30.343057,78.023713,2018,800,62
102,Nachghar ( Rajendra Nagar-2),North,30.338222,78.01851,1980,1200,52
